#{"t_start": 1775168895.654278, "env_id": "AstroExploration-v0"}
r,l,t
-79.084798,487,0.524081
-89.408564,541,0.855833
-83.023177,507,1.147442
-81.849682,569,1.458383
-76.203193,532,1.722518
-87.633394,516,2.331661
-86.611576,519,4.573548
-88.160545,505,6.17982
-82.466974,665,8.353411
-90.72207,485,22.923025
-89.862541,506,24.696508
-89.36402,556,27.127724
-81.641208,567,30.050613
-86.418415,499,32.234163
-83.705679,594,35.069086
-89.153711,516,37.326967
-85.543641,511,39.481086
-90.341017,473,41.613428
-74.455035,542,52.758099
-84.118866,503,54.958439
-62.980481,694,57.979121
-71.301182,575,60.578681
-79.347968,518,63.481526
-79.14027,555,65.882756
-82.719188,565,68.944366
-86.621021,487,72.017706
-80.398849,490,75.258945
-88.128421,547,97.950667
-79.41759,704,101.939872
-84.314654,575,105.22759
-77.593127,524,109.686203
-86.50614,578,112.600857
-86.200979,613,115.634471
-83.59857,730,119.668953
-80.26198,522,122.271552
-87.790357,651,125.875482
-87.094465,686,137.856226
-73.311488,564,140.640007
-82.978105,495,143.083828
-70.625657,469,145.356527
-81.73273,508,147.918537
-80.80442,507,150.574016
-80.770014,546,153.740434
-79.193235,610,157.236374
-71.5463,550,159.936862
-79.621918,553,171.185523
-87.117481,498,173.955218
-78.559235,563,176.907711
-80.3157,526,179.623682
-83.596017,551,182.514064
-87.585814,586,185.598414
-85.981541,528,188.351811
-90.004396,540,191.778548
-84.576393,512,194.320691
-81.404698,485,204.09231
-78.464147,699,209.972601
-80.770015,513,213.403684
-82.489854,679,218.67845
-84.815228,520,222.072819
-84.339929,567,225.006984
-78.872806,674,228.629689
-77.145109,590,231.711197
-86.881431,712,257.384994
-54.901226,541,260.218821
-85.257663,505,262.90455
-82.566867,521,265.637427
-84.741053,573,268.582148
-87.571957,690,272.134159
-88.25783,903,276.846323
-89.527814,796,281.640348
-86.320472,604,291.767882
-79.199404,566,294.661444
-71.648141,611,297.810948
-87.808509,848,302.255411
-77.788288,604,305.714717
-81.049705,499,308.334964
-81.29278,673,311.776963
-84.928522,537,314.600932
-77.48935,694,323.509983
-82.461872,509,326.965014
-80.248636,616,331.36204
-82.097988,538,335.448748
-88.448957,784,341.112358
-85.719481,532,345.285781
-88.073652,630,349.676987
-68.679587,503,353.80187
-80.774428,506,357.768674
-73.274202,604,389.339353
-83.108319,510,392.401465
-87.228315,507,395.167408
-82.846058,516,397.941245
-72.982011,596,401.179562
-65.976445,694,405.409263
-42.457599,883,410.374984
-79.313498,542,414.053491
-81.7891,512,451.958527
-79.360906,589,455.093674
-73.87023,575,458.533358
-78.290926,635,462.10952
-74.193711,817,466.609685
-76.753189,1684,475.597921
-80.528732,553,507.154338
-84.147362,540,510.764127
-86.393738,786,515.157663
-87.377356,596,518.388939
-83.277708,755,522.630363
-87.682339,534,527.03255
-82.285089,903,533.835491
-89.899925,1078,554.763136
-89.394328,701,559.011532
-75.179203,622,562.382878
-88.858253,544,565.382839
-86.284123,516,568.701531
-80.476643,714,572.649685
-86.20515,1379,580.783708
-82.154163,732,616.368668
-85.028911,576,619.819204
-85.485921,534,622.824123
-86.511645,538,625.815302
-82.290175,522,628.743639
-81.324479,809,633.138273
-86.208482,503,635.848219
-68.426851,635,639.410958
-82.410324,534,665.201408
-85.496701,1065,670.96325
-84.946944,485,673.592313
-85.148947,1864,684.911859
-86.172863,568,688.918618
-68.727159,992,704.188641
-80.1955,1120,710.37557
-63.700713,630,714.152365
-60.58648,958,722.308772
-80.4286,736,727.244706
-82.476767,1137,735.397764
-90.181962,461,742.994846
-71.811165,1448,751.435765
-90.214724,483,754.25533
-80.390473,747,758.389907
-91.150201,784,762.754608
-89.551276,922,768.031572
-90.462762,748,785.084024
-87.958672,533,789.355524
-90.459752,972,795.921399
-89.665029,533,799.503449
-72.908829,1009,805.185431
-67.258085,1437,813.992329
-88.142825,794,827.685123
-68.680697,722,832.07058
-90.607698,539,835.728439
-90.328977,1421,843.777809
-87.391518,630,847.333418
-81.46994,767,852.2612
-65.454313,891,866.49069
-87.169615,827,871.46084
-78.560675,509,874.416675
-87.730091,477,877.101209
-77.044069,592,880.424981
-75.995565,703,884.436227
-61.277295,812,889.104775
-90.803776,544,901.260493
-79.802045,736,907.153535
-79.028382,620,912.053572
-82.680612,587,916.796397
-84.929781,1022,924.288796
-89.027822,956,930.28938
-74.269634,619,933.886008
-83.69996,880,946.206463
-90.087572,973,954.128461
-82.052552,527,958.352251
-87.58085,682,963.645248
-72.540637,615,968.430091
-64.611592,939,973.955888
-69.108029,833,986.011003
-89.769238,1045,991.988122
-91.796723,750,997.244018
-92.438784,619,1000.633866
-74.479652,1046,1007.451802
-87.665062,686,1011.732907
-89.73472,800,1016.30039
-91.093361,1650,1031.572129
-88.154253,1642,1041.563987
-88.794193,653,1045.650488
-87.152877,835,1050.670214
-68.876406,705,1089.470892
-76.438028,1432,1097.668655
-93.093458,843,1102.561033
-84.512422,1356,1110.579721
-86.602634,760,1115.761915
-87.272177,1214,1146.318082
-86.952457,821,1152.503249
-91.533566,788,1157.420138
-70.419214,2358,1209.783339
-92.429133,667,1213.858095
-85.662253,758,1218.441353
-83.071311,819,1223.133246
-91.098603,512,1226.072315
-87.825624,727,1230.520937
-90.715555,698,1234.583523
-90.268259,561,1237.773782
-83.937221,1189,1250.928309
-92.749218,790,1255.611972
-91.044468,1902,1266.861782
-92.326238,760,1271.336165
-93.681793,1147,1286.557999
-85.037398,936,1293.055126
-90.255395,591,1297.674602
-55.851943,1119,1306.591193
-78.677551,775,1312.887456
-90.959416,602,1317.798018
-82.633708,1423,1338.350129
-90.604693,769,1344.299772
-63.064315,1262,1352.106724
-77.513713,1564,1361.661686
-93.923813,768,1382.400622
-91.90652,820,1387.484439
-83.92906,710,1392.100923
-89.196703,795,1396.891842
-90.81887,673,1401.152141
-57.308275,742,1405.575236
-50.989656,858,1410.652228
-74.578148,1069,1448.216269
-89.483575,1130,1455.299999
-84.336728,852,1461.006637
-90.262695,673,1464.776485
-92.952415,1244,1474.241823
-92.072243,1486,1508.720507
-84.947995,1015,1515.165983
-70.179024,902,1520.727145
-88.945793,852,1526.002186
-77.413711,743,1530.690371
-93.585257,619,1543.578855
-93.494925,1015,1549.754115
-87.099276,635,1554.186049
-90.073907,881,1559.503737
-71.743865,772,1564.450884
-89.2778,917,1569.873198
-89.396698,938,1579.42217
-94.879217,874,1584.553698
-62.758209,1710,1595.223999
-59.140891,1424,1606.945686
-90.887383,1241,1623.037192
-88.521102,766,1627.543428
-89.689871,993,1633.534192
-72.839329,1122,1640.285699
-81.133592,896,1645.806373
-55.996157,1100,1659.642615
-92.449081,928,1665.617978
-83.020317,1220,1672.862392
-88.326488,609,1676.499653
-90.164064,905,1682.482907
-81.080486,2055,1739.104863
-88.396278,564,1744.476501
-89.537769,936,1754.24517
-26.759117,1772,1770.700639
-63.761512,3541,1802.929637
-87.453091,1004,1809.054736
-90.364572,689,1818.817371
-83.411916,890,1824.159216
81.081519,1126,1831.120568
-94.575603,1787,1842.924909
-91.999986,2468,1880.044611
-38.629781,1166,1887.461475
-72.94713,747,1892.258876
-82.71006,791,1897.57399
-88.681387,1217,1964.123944
-92.386119,1078,1971.948045
-84.701216,2523,1988.621887
-87.211725,1697,2006.34229
-54.860097,842,2011.924676
-74.471304,909,2018.593732
-89.574742,945,2024.993356
-82.146255,809,2030.476209
-94.166131,1547,2046.615093
-85.338769,575,2050.23038
-50.146557,2135,2066.502041
-79.325759,963,2075.349503
-58.590531,1028,2088.766883
-85.903625,1329,2097.26344
-81.865622,1071,2104.109686
-87.854856,715,2108.811998
-92.224609,696,2113.830316
-59.757146,1390,2186.036782
-75.228798,640,2190.166094
-64.562566,1172,2198.54002
-85.672244,564,2203.944542
-70.847939,1154,2214.14624
-71.581013,714,2219.271879
-84.400514,782,2241.487594
-76.446947,938,2248.18976
-79.071379,794,2253.485162
-78.209344,791,2258.504994
-84.496519,1639,2269.435438
-77.442759,1451,2313.436202
-85.653425,2453,2329.833024
-62.03807,1124,2337.66832
-86.623249,913,2503.134771
-71.324647,1078,2512.461797
-80.339524,620,2518.165378
-81.663129,975,2526.149891
-67.611193,1327,2535.087197
-83.506816,703,2555.175716
-86.609776,537,2559.360512
-77.624961,976,2566.109439
-83.425156,859,2572.253369
-89.738739,736,2579.256087
-81.904592,1348,2589.247641
-49.509834,1206,2636.810259
-69.548394,861,2643.485495
-82.925071,564,2647.766542
-83.968555,664,2652.883766
-80.702536,80,2653.472386
-80.412718,844,2660.085334
-79.006267,480,2665.369391
-71.819899,947,2686.066955
-69.099683,940,2694.466184
-65.652003,1210,2704.174848
-40.733323,948,2710.89926
-50.593386,1049,2717.507587
-48.22075,929,2730.219374
-76.805241,1157,2741.321813
-82.998977,567,2746.133287
-73.854977,540,2750.217762
-61.546835,1172,2757.939955
-79.823244,647,2762.149678
-68.820635,1366,2782.598781
-37.489055,1092,2790.029176
-69.185345,836,2795.600945
-65.646738,1498,2805.364084
-75.6309,173,2806.497025
-80.438489,1405,2828.266194
-60.147593,968,2838.329143
-73.974205,807,2846.086362
-14.205461,2002,2861.439371
-75.503854,1112,2896.893373
-81.761734,1174,2904.538455
-83.053155,1450,2914.350216
-77.253689,1054,2922.133848
-25.050678,1739,2950.657719
-67.974812,971,2957.057046
-67.169148,1998,2977.227152
-75.109057,827,3000.754377
-87.520885,1129,3010.096367
-55.324814,1081,3020.977053
-90.169498,937,3029.204869
-16.806963,820,3037.086615
-72.158038,1714,3059.91602
-20.258667,1129,3067.765728
-70.342576,1410,3077.599212
-89.062568,1112,3086.545453
-50.783655,1732,3104.178383
-71.30399,790,3109.594843
-84.679512,771,3114.93066
-95.134467,1283,3125.937401
-76.277337,2496,3156.028305
-90.151099,734,3161.165175
-89.640242,2093,3176.1076
-87.364369,922,3190.436588
-56.127671,1597,3202.194014
-91.393528,743,3207.481737
-64.805995,2252,3223.89424
-93.784373,1199,3242.02877
-34.353772,1215,3251.171537
-5.874009,1660,3263.289216
-81.296176,1157,3311.517966
52.3625,1272,3322.43332
-92.14669,948,3331.199439
-90.170317,665,3337.825831
-81.2436,1192,3347.631936
-18.226274,1183,3364.182166
-58.844633,1492,3375.218017
-75.406696,1274,3385.433904
-66.367081,707,3390.911601
-79.979145,1160,3399.464285
-90.461923,981,3415.044922
-90.431797,1542,3427.192849
-82.426289,432,3430.771556
-70.991655,1565,3443.185595
-92.172384,861,3460.674963
-92.108232,864,3469.53088
-34.833291,1191,3484.056768
-92.256927,859,3495.835959
-88.302514,1395,3514.634997
-82.906069,783,3543.800292
-84.44567,2464,3567.478111
-79.720998,1448,3578.608428
-93.789993,1001,3590.441799
-90.797436,653,3596.211086
-71.467984,1606,3608.246014
-80.209866,1171,3616.923152
-84.553832,1071,3624.932518
-91.598798,967,3692.272108
-94.37639,1267,3705.460881
-64.602178,1077,3719.753837
-92.340052,572,3726.198525
-83.393382,1084,3735.116774
-93.132619,903,3762.765288
-91.252555,1076,3771.044033
-72.430942,1264,3780.599041
-81.176608,1082,3788.693332
-82.104766,1328,3847.897813
-93.121802,1097,3857.330809
-90.833805,913,3864.65928
-72.88506,858,3871.011263
-80.228059,890,3877.623645
-83.894082,834,3901.67267
-89.692006,657,3910.454345
-84.078405,846,3921.44609
-90.757285,1209,3933.93533
-78.429479,211,3935.931808
-87.917539,701,3943.082931
-92.680382,1089,3953.835305
-87.421487,1441,3978.440166
-64.072265,669,3984.705971
-92.914108,1049,3992.901882
-53.549974,999,4000.344226
-74.81595,1982,4052.19205
-61.232097,2522,4078.732456
-90.379223,863,4088.792572
-82.509651,786,4143.613771
-72.604634,1788,4157.109238
-90.351913,1125,4165.889849
-72.468989,1042,4174.906772
-87.918613,743,4181.100641
-83.470799,1658,4217.818035
-82.964309,844,4224.572012
-91.491868,720,4230.03529
-85.995425,1201,4239.247188
-87.99968,1440,4254.703095
-46.492822,794,4263.003994
-69.527327,982,4274.850559
-87.215903,510,4282.381317
-94.906582,631,4290.852026
-85.808643,753,4300.038157
-40.46291,1338,4336.946534
-86.782402,1263,4350.94529
-73.868206,1338,4363.500308
-59.376166,1325,4373.556782
-89.719417,81,4374.185538
-87.885788,655,4383.859374
-85.463851,795,4391.557488
-88.930281,651,4397.009334
-52.467682,1010,4405.073858
-40.295036,1146,4414.058065
-88.420945,729,4419.642734
-85.396352,1124,4436.735486
992.978315,1574,4452.903006
-89.121626,535,4459.221446
-18.971525,1123,4473.550528
-93.151631,1073,4487.556144
-55.080892,1344,4497.867013
-71.267542,717,4503.37556
-80.48431,917,4511.48456
33.97842,1545,4524.656747
5.192602,1642,4579.569063
-34.467804,1077,4587.810734
-68.825123,1296,4597.868162
-87.084361,939,4606.323602
-91.036304,734,4625.536764
-94.495724,644,4630.946433
-86.832322,701,4636.404513
-87.825944,2926,4659.572025
-89.382939,1187,4684.734076
-90.456317,758,4690.532297
-46.257412,982,4698.287779
-56.782815,1109,4706.890661
-51.844438,1337,4723.525349
-91.596921,769,4744.650252
-63.849396,1150,4757.856667
-90.636081,1564,4774.729534
-78.761118,1302,4788.208102
-43.525531,2039,4821.279486
-92.29456,941,4828.587266
-66.937606,727,4834.433028
-89.852444,2231,4859.718014
-91.816789,732,4865.1531
-76.029405,842,4871.586878
-89.65518,1577,4885.591338
-88.12295,1054,4896.374222
-83.691122,1199,4921.595543
-90.325167,1132,4933.63726
-85.216351,1330,4944.040151
22.329753,1131,4953.785343
-31.412759,1289,4975.388998
-93.960199,692,4980.930818
-77.402221,979,4988.423379
-91.851777,1206,4997.894135
-58.602339,1475,5017.188117
-81.497414,2034,5033.457289
-84.270917,1136,5042.320933
-91.830342,940,5049.900337
-92.587164,756,5072.268284
-85.094953,1128,5080.816633
-93.804156,1766,5095.114106
-70.730612,1198,5109.016439
-74.153102,1464,5139.564908
-40.519031,1637,5160.888145
-70.454221,907,5171.196226
-95.594179,2065,5206.627629
-90.309561,1504,5218.88573
-73.218135,190,5220.365926
-92.453217,1025,5228.531547
-75.186988,712,5234.117257
-80.02612,782,5241.50671
-47.776815,1276,5264.77118
-72.614036,919,5271.943357
-88.640685,101,5272.698437
-84.236219,750,5278.573009
-83.383067,1010,5287.142491
-92.74764,1018,5296.769237
-67.765184,1074,5328.652606
-31.618051,2242,5349.246215
-62.630536,1287,5359.322412
-86.958457,1197,5382.698928
-89.432874,715,5389.650079
-90.180227,1102,5402.211185
-86.305427,692,5409.999044
-90.088894,794,5419.878132
-90.276335,682,5427.567796
-87.957316,1276,5443.664285
-18.123916,1814,5464.262524
-78.329139,1192,5474.987825
-79.645818,709,5480.427691
-74.691167,624,5501.023768
-89.133209,1087,5512.374938
-69.960885,1389,5524.159776
-87.368487,1385,5535.099052
-59.689806,741,5540.928615
