#{"t_start": 1775179865.9182613, "env_id": "AstroExploration-v0"}
r,l,t
-87.94955,487,0.796078
-89.734649,541,1.177067
-78.07687,507,1.436781
-89.268401,569,1.764729
-87.338619,532,2.081054
-90.090507,519,2.884925
-90.16323,521,4.922291
-89.136845,514,7.052145
-81.049356,585,9.400926
-87.657759,516,23.898058
-86.46655,510,25.802975
-86.126672,520,28.010965
-83.688345,575,30.348454
-83.569087,533,32.187978
-82.637904,585,34.317348
-83.806573,530,37.851547
-83.341371,515,44.456458
-86.65345,480,47.279363
-85.176868,527,92.330643
-81.43786,503,96.858128
-84.41257,620,103.597684
-81.817229,536,109.295444
-84.448629,500,113.051523
-82.649927,521,116.895248
-80.20877,466,120.352951
-81.652669,527,125.357079
-83.062114,534,130.855027
-81.988404,517,134.918824
-85.868474,520,154.857057
-81.515842,601,158.214996
-85.926932,503,162.62177
-84.994048,456,168.952526
-84.942702,508,174.659425
-85.173542,536,179.312888
-83.858778,856,187.265731
-81.48079,544,192.47525
-84.067648,569,198.238999
-82.400359,681,229.40193
-77.676963,1007,236.980831
-82.677704,471,240.258434
-69.928707,607,243.851978
-83.447804,493,247.412393
-81.603572,550,255.562199
-78.855396,646,262.622456
-80.475107,535,268.379962
-80.762529,546,300.024872
-77.443366,520,304.771415
-76.063899,536,309.417943
-76.503772,525,313.0388
-81.528086,550,316.682309
-76.800774,509,321.001857
-77.184543,481,324.618572
-76.921906,549,329.026774
-79.861716,678,333.647754
-78.466866,529,360.329619
-77.196204,503,364.51686
-78.090377,584,372.939537
-79.648187,536,379.433423
-74.822496,472,384.141886
-71.432171,535,389.794181
-70.485261,536,397.313947
-73.08097,461,404.001236
-72.344868,550,411.210311
-75.679486,596,434.83113
-67.343787,548,439.073302
-67.933303,496,446.214982
-64.239569,532,457.47017
-55.994191,508,461.530612
-66.61849,504,465.177448
-61.005414,551,470.304216
-55.99927,568,474.650344
-50.043714,514,478.308828
-63.115141,539,481.891306
-63.132731,744,504.72069
-55.148211,537,508.549397
-61.236343,607,513.042546
-61.879223,519,516.567073
-58.347831,612,520.632987
-57.843776,536,523.958303
-50.15408,759,528.929667
-50.823052,488,532.344461
-49.608132,473,553.948547
-32.739816,607,557.81951
-23.254829,724,563.475025
-38.398222,513,566.750065
-53.922213,1082,572.817995
-52.42094,655,576.180045
-57.139965,594,579.541676
-28.104006,768,626.376178
-35.460564,611,630.590601
-45.609494,610,636.418935
-31.699874,687,641.6101
-44.466294,581,645.699273
-41.581212,622,650.078177
-55.309628,583,654.155107
-55.364995,827,659.842888
-60.547568,545,685.673458
-51.271338,524,689.415162
-51.25018,563,693.814474
-26.176256,535,697.775093
-50.314148,569,701.87205
-44.411538,558,705.903032
-52.919491,626,710.257547
-36.004676,554,714.120426
-41.315586,571,718.268796
-39.571484,681,738.867757
-53.782681,573,742.961861
-67.59373,477,746.198138
-49.93413,622,750.586407
-47.724495,851,757.582773
-57.303193,1108,766.502663
-52.27082,457,769.866933
-61.964077,557,773.996793
-61.736054,573,806.499849
-59.385006,800,812.26451
-72.364249,609,816.677455
-67.987022,494,820.140013
-66.136636,546,824.196001
-68.307386,521,827.919777
-43.467158,616,832.102374
-68.913788,698,837.558265
-62.444075,540,865.752591
-48.909516,627,870.438842
-39.165385,535,874.415726
-37.768423,488,878.016845
-30.591949,481,881.491082
-54.985808,719,886.89365
-17.670825,549,890.931752
-32.473147,562,895.172252
-43.121761,758,918.16156
-55.620052,748,923.888254
-41.441271,555,928.044744
-45.562957,653,932.875354
-49.49776,1084,941.721575
-40.395444,568,946.311622
-31.954178,967,954.291392
-49.16598,618,970.886084
-41.829501,583,975.275836
-51.361208,499,978.972095
-40.302135,1093,987.214699
-56.317105,767,992.999182
-13.967927,616,997.596754
-58.355952,560,1001.795246
-60.761409,556,1005.911377
-63.806018,660,1021.914018
-65.29778,613,1026.739957
-72.896292,563,1031.290579
-67.131739,616,1036.319817
-71.120482,588,1041.259949
-73.167667,1193,1050.4054
-71.351248,742,1056.085057
-66.257525,571,1074.755419
-37.840588,823,1081.090665
-62.850441,561,1085.380262
-59.534658,518,1089.382658
-58.336071,905,1098.475252
-54.034203,572,1103.326101
-32.442522,839,1112.327636
-58.006659,677,1140.136896
-64.778934,504,1144.645102
-62.571339,807,1151.805651
-53.132926,551,1157.47282
-58.915165,734,1164.262477
-46.559636,572,1169.327616
-66.694817,956,1179.484547
-62.482852,558,1226.642933
-36.666493,633,1234.79436
-47.103935,471,1239.85009
-50.778605,641,1246.588579
-37.344555,840,1254.860582
-34.887099,549,1261.991564
-40.075436,821,1269.977599
-55.838677,760,1276.925608
-32.522742,629,1337.10824
-18.892292,1346,1350.800684
14.589132,735,1360.55033
-14.965968,2032,1383.527247
-13.493022,519,1405.361068
-15.402387,523,1409.91947
-25.704317,731,1416.877476
-11.819934,659,1425.108202
1489.11616,572,1429.852164
16.566036,568,1434.620984
-21.614037,513,1440.706399
-21.102984,1280,1458.3657
-29.397219,1261,1488.617082
-13.743287,1004,1499.846448
-29.235473,488,1504.994369
-32.289399,563,1510.302678
-11.237677,1128,1522.610177
-18.651925,716,1559.488554
-31.030715,906,1567.908866
-33.09049,1237,1578.388048
-40.924909,655,1584.848077
-30.432811,647,1589.690069
-6.397841,894,1599.243284
-32.322442,511,1603.211506
-22.845227,581,1619.488786
-7.416207,522,1622.460573
-33.402664,863,1629.176096
-0.480086,970,1636.540234
-7.526425,561,1640.818661
-12.899342,643,1645.457876
-20.811965,776,1651.248786
-29.582265,622,1669.766466
-27.361091,1014,1678.814654
-18.665631,650,1684.083594
-43.316929,614,1688.72894
-24.150171,757,1694.015201
-14.671768,596,1699.674643
-31.242932,816,1705.720067
-42.516032,827,1736.010917
-34.605127,592,1740.161232
-11.998203,935,1750.857229
-3.504321,658,1761.15148
-11.067467,623,1765.384972
-20.076872,1048,1774.866378
-38.44049,577,1796.661058
-25.454335,544,1800.577489
-28.155518,756,1805.674481
-7.234511,970,1811.526307
-13.366993,761,1816.276987
-10.09474,845,1821.467776
-11.675887,758,1826.186081
-35.690501,923,1847.277081
5.972868,645,1852.94155
8.250544,680,1857.484324
24.372966,720,1862.241475
-8.521581,741,1867.550828
-43.983868,466,1870.903537
-46.798578,615,1874.724683
-33.635023,635,1885.709829
-32.12511,582,1889.516691
-34.433707,2105,1902.135197
-50.397045,1046,1908.240464
-33.572216,586,1911.914586
-55.155331,595,1948.777089
-50.569889,539,1952.097614
-63.003939,1395,1959.578464
-40.665413,865,1963.902558
-50.398161,545,1966.648298
-47.47299,879,1971.229449
-30.50136,1025,1987.306013
-64.092274,630,1991.812905
-61.236646,630,1995.683425
-72.73944,1053,2001.775344
-21.590301,978,2007.15284
-67.453612,1272,2014.343508
-70.505861,650,2027.316864
-62.556646,687,2030.765943
-64.209221,619,2033.834784
-42.905702,1355,2040.562853
-56.529743,707,2044.050768
-57.78694,811,2048.067055
-62.595478,562,2075.906439
-71.969742,783,2080.332537
-75.931187,958,2085.705931
-81.925134,674,2090.091332
-79.384429,823,2094.236388
-80.379323,512,2096.803015
-53.039019,932,2101.431771
-68.994736,798,2112.531254
-73.631522,705,2115.975679
-60.292246,1439,2123.252495
-56.217357,1451,2131.94411
-75.30607,1180,2149.100471
-57.86822,743,2153.527391
-54.077984,801,2158.556112
-62.268502,769,2162.865983
-63.145712,910,2167.400431
-63.425092,585,2170.274139
-19.443619,734,2184.726973
-63.265287,739,2188.421772
-52.291179,656,2191.816375
-27.331327,1175,2198.13103
-53.354119,943,2206.663013
-61.773315,1017,2213.061215
-59.093371,992,2229.86348
-49.189971,609,2232.691267
-26.184546,663,2235.756717
19.725677,927,2240.063133
-44.114631,725,2243.463474
-25.020587,841,2248.910912
-31.060586,1340,2289.328322
-31.294477,538,2292.080128
-33.952,632,2295.615952
-36.243971,643,2299.119051
-28.220975,570,2301.814225
-29.483142,705,2305.224721
-42.930428,625,2308.136626
-25.308231,1038,2321.648746
-9.635408,1380,2328.351369
-36.730058,1209,2334.777014
-8.232368,672,2339.036836
-40.761218,533,2341.74153
-20.930011,876,2361.963668
-29.131335,750,2365.534428
-44.654321,608,2368.604693
-48.930302,677,2371.76414
-38.262226,993,2376.558235
-60.693942,1526,2384.067097
-61.324779,923,2392.464533
-0.102573,775,2396.551647
-48.558817,736,2400.892733
-9.303122,714,2405.191462
-55.680945,870,2409.924306
-60.657795,1243,2416.477837
-51.527255,1182,2436.113077
-9.215166,1010,2442.12434
-32.170586,867,2446.980164
-61.8956,696,2450.347578
-18.21442,1187,2456.416603
-63.103877,679,2468.482833
-50.850149,830,2472.906125
-19.185294,966,2478.174465
-61.984804,779,2482.29327
2.159414,1158,2489.794438
-63.394428,835,2506.742657
-8.740721,911,2511.235513
-54.791768,750,2515.244843
3.164085,905,2519.663574
-45.718884,1164,2525.729826
-70.431578,589,2529.783419
-55.68503,881,2544.212662
-59.793323,620,2547.473759
-27.924681,731,2551.331841
28.401937,647,2555.276345
-34.069819,788,2559.538864
-24.626202,635,2563.014776
-1.42133,1172,2568.927556
-13.275697,859,2580.892959
-12.901063,1544,2588.632793
-3.902788,1207,2598.104686
-30.060551,662,2603.852216
-32.777766,957,2622.54994
-16.40371,949,2630.772546
-23.097141,682,2636.117125
-34.562469,840,2641.725252
-43.763875,840,2649.534007
-39.558392,867,2655.333469
-25.590866,520,2659.024081
-25.225466,767,2673.411552
12.088082,706,2680.086823
-26.862981,898,2688.94036
-18.003182,689,2693.49613
10.819478,833,2702.144962
-36.370422,565,2708.180827
-45.376967,684,2732.91881
-31.425028,856,2740.959219
14.34754,1107,2749.493822
-33.914424,1502,2762.145799
10.210947,976,2769.06913
29.966554,1139,2811.974587
-36.879462,1245,2824.293969
-62.10829,2967,2847.91157
-54.883969,919,2878.750355
-69.389039,1123,2892.054951
-9.299132,778,2900.263124
-67.217004,2684,2933.578557
-71.292987,771,2940.33976
-34.539487,683,2945.370713
-43.640468,924,2954.768109
-60.883283,642,2960.311251
-46.634814,979,2970.616294
-70.295235,957,3000.437857
-80.249346,552,3006.433276
-73.000894,802,3012.872069
-78.152276,1573,3023.444042
-67.052679,830,3029.084266
-79.706771,956,3035.068025
-42.818797,801,3047.446404
-80.827863,633,3050.764552
-84.054304,712,3055.688817
-67.197188,1267,3063.406391
-71.726418,1161,3070.169888
-56.295791,888,3081.959077
-76.415168,653,3085.149165
-75.489997,508,3087.728209
-84.418031,643,3091.107062
-71.665292,940,3095.687538
-83.373115,954,3100.593341
-85.732892,770,3104.578746
-87.379779,1309,3119.041295
-64.491303,1091,3125.415523
-85.129082,895,3129.792309
-87.320913,771,3133.581728
-74.093023,639,3136.746819
-73.207103,2066,3154.922203
-62.127312,1529,3164.807865
-87.820098,833,3169.494366
-84.865923,508,3172.20847
-90.57422,886,3188.739184
-66.46257,786,3192.714598
-81.741955,1132,3198.445118
-53.640049,972,3203.359485
-77.612921,596,3206.515462
-61.989419,1495,3225.20842
-88.886996,491,3228.137889
-57.884074,1691,3237.472988
-88.49247,613,3240.646205
-81.008503,986,3245.708875
-85.13557,1005,3256.805086
-81.842843,805,3261.130105
-86.941039,1093,3267.758589
-86.849311,739,3272.642248
-85.155043,767,3276.912202
-78.635123,738,3281.914968
-76.525704,1032,3295.095178
-20.078559,1079,3300.781519
-86.108769,964,3305.786701
-84.122713,927,3310.582869
-82.014116,722,3314.408869
-82.6196,717,3318.337839
-78.222965,533,3330.27032
-79.747832,1825,3341.210856
-65.22653,652,3344.670441
-63.457106,770,3348.667407
-57.945036,973,3353.701148
-78.44331,1050,3365.696037
-10.305734,935,3370.880749
-62.240283,1013,3377.4295
-2.293258,791,3382.214874
23.635747,1674,3391.988289
-86.395157,732,3399.899158
-79.211184,683,3403.51469
-74.76073,807,3407.805322
-83.43353,764,3411.964625
-55.912743,1344,3420.5543
-80.756005,624,3424.375694
-74.922206,585,3448.860461
-69.013347,1125,3455.03488
-83.558953,599,3458.358534
-80.458641,462,3460.893233
-84.504796,706,3464.73909
-79.981759,709,3468.663016
-71.442347,1377,3494.12188
-53.347037,961,3499.619992
-59.661893,1114,3506.578049
-20.346885,1489,3514.730228
-72.574123,981,3528.07594
-75.428896,880,3532.853896
-63.135553,953,3539.68795
-4.250276,1642,3550.689724
-67.313145,966,3556.675843
-69.255272,86,3557.148142
-52.413903,1453,3569.226646
-62.924236,1134,3575.479445
-71.566901,523,3578.345808
-72.673405,848,3583.045888
-70.234095,603,3586.340254
-46.681005,1180,3604.383202
-82.736917,580,3607.796854
-22.447463,1107,3614.782387
-69.975321,1421,3622.843932
-9.559414,1222,3629.615012
-42.401909,1410,3660.043144
-88.255441,1123,3666.631453
-75.063828,1031,3673.236584
23.17966,985,3678.749715
-66.935264,1444,3690.794877
-80.38619,899,3695.829928
-71.212613,1849,3706.225146
-80.925241,904,3712.435955
-84.491037,679,3717.352968
6.185314,2598,3744.465107
-88.073141,742,3748.599554
-88.577524,615,3751.992146
-84.559213,708,3755.959312
-83.422586,811,3774.171775
-78.795265,1877,3786.173776
-83.707535,692,3790.386209
-74.845259,833,3795.162961
-86.845076,2675,3815.497796
-92.566922,852,3820.421693
-79.793441,1345,3829.444832
-91.809541,793,3834.458143
-93.25332,741,3846.414466
-92.726859,771,3850.700247
-79.661893,1048,3856.870507
-89.095741,716,3860.958009
-88.704614,947,3866.30413
-84.378571,711,3870.283253
-74.335667,859,3898.766277
-81.831688,1357,3906.860215
-85.263715,2376,3920.108972
-92.047377,872,3924.899335
-91.11882,865,3935.926629
-90.444486,1184,3944.552648
-71.72534,1322,3952.72164
-92.319088,680,3957.417819
-81.203301,965,3962.928512
-82.31482,682,3971.933118
-89.383439,1052,3977.887539
-80.155095,574,3981.080896
-92.934385,970,3986.569243
-93.878596,660,3990.489124
-94.182412,835,3995.65585
-91.924497,901,4008.324142
-90.294675,573,4012.067487
-50.392089,1311,4019.804366
-90.861315,1059,4025.667372
-93.493339,857,4030.422662
-90.983301,1217,4054.359201
-91.673185,882,4059.63289
-86.287811,821,4065.154399
-90.314255,980,4070.834037
-94.789774,378,4072.990558
-91.578511,691,4077.112219
-89.252033,2394,4096.014303
-72.331939,957,4101.60425
-87.278684,1011,4108.774941
-90.991578,930,4114.490264
-76.04816,830,4126.062843
-91.692257,854,4130.930127
-86.678267,1275,4138.390349
-85.904943,1385,4147.271104
-89.704894,771,4152.633119
-89.107411,599,4162.411941
-88.632048,1260,4172.262173
-47.876139,1378,4180.740156
-88.561066,836,4186.055195
-42.830478,766,4190.388608
-92.474201,477,4197.713221
-79.133682,650,4201.393036
-85.481739,808,4206.010884
-70.157647,782,4210.355956
-92.228043,762,4214.624889
-87.746744,965,4220.309186
-92.47592,787,4226.161049
-92.992252,677,4261.77151
-94.313125,773,4266.147525
-90.136021,1023,4271.969615
-86.803242,1481,4281.272793
-85.126799,1116,4288.682419
-59.561347,831,4297.990575
-90.788283,969,4303.491173
-89.465329,979,4308.965777
-66.143379,816,4313.547451
-77.996033,1002,4319.378679
-86.627943,797,4329.137168
-93.202061,1822,4341.490798
-81.725976,672,4346.073186
-92.64813,656,4350.448407
-68.818131,1262,4358.270808
-79.616927,875,4373.898717
-92.016494,713,4378.132601
-90.622584,1020,4384.085347
-89.639571,717,4388.316176
-93.044009,750,4393.416867
-83.674876,1059,4400.578375
-86.052203,1252,4413.163144
-47.912272,1170,4419.706663
-70.307485,1327,4427.202033
-86.050208,874,4432.155373
-91.586579,785,4441.619594
-82.835429,1259,4449.747051
-89.445674,993,4456.524981
-89.342497,938,4462.383748
-83.604983,1697,4487.948833
-84.305249,931,4493.26741
-93.392705,966,4499.220894
-72.863863,779,4504.089357
-88.865425,663,4509.286224
-79.143302,1507,4538.373657
-68.934139,739,4542.749195
-88.152344,1271,4549.963137
-88.529765,958,4555.811004
-69.121183,1244,4564.733418
-45.982164,800,4579.628344
-85.823612,1939,4590.622229
-87.928767,714,4594.715539
-76.838706,1430,4602.860388
-82.681824,816,4607.647158
-77.607688,969,4626.20091
-91.264446,1144,4634.635174
-66.51764,708,4638.66832
-88.775227,963,4644.212595
-89.985461,784,4648.678252
-18.451786,1286,4666.982477
-87.86303,917,4672.779743
-90.882301,980,4680.192479
-92.168135,763,4684.838293
-80.939091,1235,4692.854185
-50.127284,702,4758.684987
-88.344517,476,4761.371757
-83.663237,1578,4770.334908
-48.975334,1863,4781.269
-68.459061,1254,4794.188805
-68.255692,974,4800.42692
-86.430258,1243,4808.230319
-81.350463,762,4812.626171
-88.933922,1369,4820.426586
-84.871657,896,4833.50465
-62.886896,716,4837.735309
-76.427726,1121,4845.253863
-83.880484,1492,4855.462227
